,nse_jan,nse_feb,nse_mar,nse_apr,nse_may,nse_jun,nse_jul,nse_aug,nse_sep,nse_oct,nse_nov,nse_dec,rmf_frac,vcmx_frac,dilefw_frac,ltovrc_frac,sla_frac,qe_frac,bb_frac,smcdry_frac,smcmax_frac,reffrac,wltfrac,smcmax_2,smcmax_3,smcmax_6,smcmax_7,smcmax_9,smcmax_12,smcwlt_2,smcwlt_3,smcwlt_6,smcwlt_7,smcwlt_9,smcwlt_12,smcref_2,smcref_3,smcref_6,smcref_7,smcref_9,smcref_12,smcdry_2,smcdry_3,smcdry_6,smcdry_7,smcdry_9,smcdry_12,bb_2,bb_3,bb_6,bb_7,bb_9,bb_12,sla,rmf,dilefw,ltovrc,vcmx,qe
48,0.1886888162239695,0.05202608597274949,0.05562033565869362,0.21145473947112892,0.5075428684899871,0.6180816632686001,0.6660591766435935,0.6758189450453944,0.6669943373302517,0.5795189447679707,0.3443162706918562,0.1520585500216235,0.3651,0.4807,0.08910000000000001,0.9429,0.9145,0.8783000000000001,0.8975000000000001,0.0141,0.0937,0.7419,0.5239,0.3586204,0.36749440000000005,0.391244,0.3721196,0.4059322,0.4637448,0.058051599999999995,0.083151,0.1297208,0.1700076,0.1978164,0.28200759999999997,0.28104359272,0.29410536846,0.32374486208000003,0.3199544928,0.35221751202,0.41683842868,0.058051599999999995,0.083151,0.1297208,0.1700076,0.1978164,0.28200759999999997,5.81025,5.853,6.569700000000001,9.465050000000002,11.1433,14.67435,83.16000000000003,1.0953,0.08910000000000001,1.8858,53.263000000000005,0.162962
66,0.16056052663554288,0.07150101724555602,0.14114850312173255,0.2185317718749502,0.5152831307308635,0.6214003489396367,0.6766527916670508,0.6789602713432916,0.674252142108433,0.5875536207549366,0.3013446858892075,0.054207594396249226,0.1951,0.6107,0.7063,0.8969,0.6801,0.8797,0.4081,0.5687,0.0099,0.8343,0.0673,0.3509108,0.35810879999999995,0.381188,0.3630692,0.3970494,0.4550296,0.037961199999999994,0.042057,0.0968456,0.13165320000000003,0.1631148,0.24365320000000001,0.29905505128000004,0.30573901674000004,0.33407246432000004,0.3247235688,0.35828643678000005,0.42000453052,0.037961199999999994,0.042057,0.0968456,0.13165320000000003,0.1631148,0.24365320000000001,3.90159,4.48268,4.944891999999999,6.146918,7.482588000000001,10.827666,64.408,0.5852999999999999,0.7063,1.7938,64.96300000000001,0.163158
89,0.10384553249324313,-0.045357646663287676,-0.07150228015143822,-0.01008522882245666,0.41515351141369194,0.5455169743786692,0.6433577833278175,0.6821375569220464,0.6871641426713877,0.5965853792199928,0.3569314879238322,0.13559673853845833,0.25730000000000003,0.7467,0.2303,0.6897,0.5877,0.6977,0.3817,0.3845,0.3307,0.7501,0.4199000000000001,0.3804244,0.3940384,0.419684,0.3977156,0.43105420000000005,0.4883928,0.053475600000000005,0.073791,0.1222328,0.1612716,0.1899124,0.2732716,0.29871989488,0.31400857474,0.34535094512000003,0.3386282444,0.37079286418000007,0.43463401211999997,0.053475600000000005,0.073791,0.1222328,0.1612716,0.1899124,0.2732716,3.79863,4.40876,4.857244000000001,5.967926,7.285116,10.620161999999999,57.016000000000005,0.7719,0.2303,1.3794,77.203,0.137678
208,0.012993060862016126,-0.1228611477393371,-0.07693650583890332,0.09893966465725101,0.4795898038125216,0.5718778253976435,0.6287103456715435,0.617108322786585,0.5874344202217252,0.48677536849102054,0.23089184330947754,-0.06711832235535442,0.3751,0.8723000000000001,0.08330000000000001,0.9807,0.7225,0.7245,0.6429,0.9493,0.2635,0.8599,0.1217,0.374242,0.386512,0.41162,0.390458,0.42393100000000006,0.4814040000000001,0.0403548,0.046953,0.10076239999999999,0.13622279999999998,0.1672492,0.2482228,0.32746440328000004,0.3389397840999999,0.3680688502399999,0.35483964848000005,0.38796987982000003,0.44873531388,0.0403548,0.046953,0.10076239999999999,0.13622279999999998,0.1672492,0.2482228,4.81731,5.14012,5.724428,7.738861999999999,9.238892,12.673194,67.80000000000001,1.1253,0.08330000000000001,1.9614,88.507,0.14143
229,0.12546506725158313,-0.15471668928277627,-0.07813651233043761,0.09854280995369924,0.37172725274243734,0.4810076116430507,0.6217823051411949,0.6636613744671556,0.6939837500955335,0.645830534307962,0.4041249480181899,0.1471740077988859,0.05930000000000001,0.4319,0.4883,0.9291,0.8085,0.5727,0.9321,0.1703,0.6179,0.8051,0.1137,0.4068468,0.4262048,0.45414799999999994,0.42873320000000004,0.4614974,0.5182616,0.040002800000000005,0.046233,0.1001864,0.13555079999999997,0.16664120000000002,0.2475508,0.33534890440000004,0.35214829618,0.38516088416,0.37159195024,0.40402992662,0.46550006508,0.040002800000000005,0.046233,0.1001864,0.13555079999999997,0.16664120000000002,0.2475508,5.94519,5.94988,6.684572,9.699638,11.402108,14.946306,74.68,0.1779,0.4883,1.8582,48.871,0.12017799999999998
290,0.12628589349660913,-0.17186892584877533,-0.12948953356007342,0.10613759979589732,0.3669594626459103,0.4989251620588989,0.6184186367700977,0.6413139928126541,0.661582342244764,0.614481517111393,0.36911725582076815,0.13249594890701344,0.2041,0.4925000000000001,0.6643,0.8673000000000001,0.7709,0.5665,0.7165,0.1403,0.31710000000000005,0.8519000000000001,0.5395000000000001,0.3791732,0.3925152,0.41805200000000003,0.3962468,0.4296126,0.4869784,0.05873800000000001,0.08455499999999999,0.13084400000000002,0.171318,0.19900199999999998,0.28331799999999996,0.33171674688,0.34690629438000004,0.3755164952,0.36293484472,0.39545917014,0.4568162947600001,0.05873800000000001,0.08455499999999999,0.13084400000000002,0.171318,0.19900199999999998,0.28331799999999996,5.10435,5.3462,5.9687800000000015,8.237870000000001,9.78942,13.25169,71.672,0.6123000000000001,0.6643,1.7346,54.325,0.11930999999999999
379,0.005095255995251069,-0.13560883568687876,-0.09021111397047732,0.07132726340410067,0.4478731851646236,0.5582166584185563,0.6229663411153348,0.6229904963567146,0.5947831831712627,0.49018124666929375,0.22365816936671468,-0.04682736060590309,0.3995,0.7545000000000001,0.4657,0.9245,0.7591,0.7309,0.7611,0.2127,0.4703000000000001,0.7869,0.29190000000000005,0.3932676,0.4096736,0.436436,0.4127924,0.4458518,0.5029112,0.047843600000000014,0.06227100000000001,0.11301680000000001,0.1505196,0.1801844,0.26251959999999996,0.3196577456,0.33564210594000005,0.36751536848000005,0.35690206632,0.38923807706,0.4516837500400001,0.047843600000000014,0.06227100000000001,0.11301680000000001,0.1505196,0.1801844,0.26251959999999996,5.27829,5.471080000000001,6.116852,8.540258,10.123028,13.602246,70.72800000000002,1.1985,0.4657,1.849,77.905,0.14232599999999998
384,0.01867087270301171,-0.09686772739736615,-0.1302026749758307,-0.01651599545804361,0.37276488331369984,0.5158873332664183,0.6238452482482955,0.6518570235461469,0.6475358293999751,0.5430053641647183,0.24486742089393165,-0.07699835312794034,0.0999,0.7093,0.32130000000000003,0.7787000000000001,0.5765,0.7423000000000001,0.08910000000000001,0.9987,0.9491,0.5969,0.4005,0.4373172000000001,0.4632992,0.493892,0.46450280000000005,0.49660459999999995,0.5527064,0.052622,0.072045,0.12083599999999999,0.159642,0.18843800000000002,0.271642,0.28224656488,0.30558463198,0.3435131264,0.34161341151999997,0.37238264354,0.43940934036000007,0.052622,0.072045,0.12083599999999999,0.159642,0.18843800000000002,0.271642,2.65749,3.5894800000000004,3.885812,3.9840980000000004,5.096468,8.320326,56.12000000000001,0.2997,0.32130000000000003,1.5574,73.837,0.143922
423,0.01088277127970172,-0.2822145336681754,-0.138249163635352,0.07681483135091316,0.38516004613646226,0.5177111377393098,0.6155561012295478,0.591944964210343,0.572309265257742,0.47063377755606994,0.1729377194820253,-0.14505811715071015,0.2803,0.8523000000000001,0.3291,0.8361000000000001,0.4825,0.9657,0.9159,0.9697,0.8893,0.8285,0.5567,0.4318156,0.4566016,0.486716,0.4580444,0.4902657999999999,0.5464872000000001,0.0594948,0.08610299999999999,0.1320824,0.1727628,0.2003092,0.2847628,0.3679625828,0.3930610901,0.42589633759999995,0.4091186056,0.4405382431,0.5016014654000001,0.0594948,0.08610299999999999,0.1320824,0.1727628,0.2003092,0.2847628,5.88201,5.90452,6.630788000000001,9.589802,11.280932,14.818973999999999,48.6,0.8409,0.3291,1.6722,86.70700000000002,0.175198
493,0.04638695766216372,-0.1497930034726329,-0.21635484117765702,-0.06535440604184273,0.40657427482536945,0.5451654769881595,0.6362782078566134,0.6535603217794309,0.6374766869341535,0.5449175270522454,0.32390601971401944,0.08357222340544945,0.0517,0.7977000000000001,0.4437,0.7687,0.5901000000000001,0.8411000000000001,0.4421000000000001,0.7873,0.5945,0.7253000000000001,0.4091,0.404694,0.423584,0.45133999999999996,0.42620600000000003,0.459017,0.5158280000000001,0.0530004,0.07281900000000001,0.12145519999999999,0.1603644,0.18909160000000003,0.2723644,0.30808376808000004,0.32722885450000005,0.36072064544,0.35317931248,0.38486849261999995,0.44894854908,0.0530004,0.07281900000000001,0.12145519999999999,0.1603644,0.18909160000000003,0.2723644,4.0341900000000015,4.57788,5.057772,6.377438,7.736908000000001,11.094906000000002,57.20800000000001,0.15510000000000002,0.4437,1.5374,81.793,0.157754
