rmf_frac,vcmx_frac,dilefw_frac,ltovrc_frac,sla_frac,qe_frac,bb_frac,smcdry_frac,smcmax_frac,reffrac,wltfrac,smcmax_2,smcmax_3,smcmax_6,smcmax_7,smcmax_9,smcmax_12,smcwlt_2,smcwlt_3,smcwlt_6,smcwlt_7,smcwlt_9,smcwlt_12,smcref_2,smcref_3,smcref_6,smcref_7,smcref_9,smcref_12,smcdry_2,smcdry_3,smcdry_6,smcdry_7,smcdry_9,smcdry_12,bb_2,bb_3,bb_6,bb_7,bb_9,bb_12,sla,rmf,dilefw,ltovrc,vcmx,qe
0.9323,0.9539000000000001,0.19990000000000002,0.1159,0.19330000000000003,0.5673,0.0691,0.1279,0.2167,0.7655000000000001,0.0895,0.3699364,0.3812704,0.40600400000000003,0.38540359999999996,0.4189702,0.47653680000000004,0.038938,0.044055,0.098444,0.133518,0.164802,0.245518,0.29231727520000006,0.3021933887,0.33388118000000006,0.32633642679999997,0.3593677571,0.42236289140000005,0.038938,0.044055,0.098444,0.133518,0.164802,0.245518,2.57949,3.53348,3.819412,3.8484979999999998,4.946867999999999,8.163126,25.464000000000002,2.7969,0.19990000000000002,0.2318,95.85100000000001,0.119422
0.9831000000000001,0.4567,0.5699000000000001,0.3055,0.6029,0.2117,0.6851,0.0309,0.0251,0.15050000000000002,0.5649000000000001,0.3523092,0.3598112,0.383012,0.3647108,0.39866060000000003,0.4566104,0.05985560000000001,0.086841,0.1326728,0.1734516,0.2009324,0.2854516,0.10386986680000002,0.1279230151,0.17034884960000002,0.20223610960000002,0.23069049410000003,0.3112109994,0.05985560000000001,0.086841,0.1326728,0.1734516,0.2009324,0.2854516,4.98189,5.25828,5.8645320000000005,8.024978,9.554548,13.004886,58.232,2.9493,0.5699000000000001,0.611,51.103,0.069638
0.20750000000000002,0.7967000000000001,0.9891000000000001,0.18930000000000002,0.05310000000000001,0.8339000000000001,0.6709,0.30810000000000004,0.6987000000000001,0.9419000000000001,0.1357,0.4142804,0.4352544,0.46384400000000003,0.4374596,0.4700622,0.5266648,0.0409708,0.04821299999999999,0.1017704,0.1373988,0.1683132,0.2493988,0.3925911122400001,0.41276729466,0.44280752384000005,0.42002606752000005,0.4525305831,0.5105556454,0.0409708,0.04821299999999999,0.1017704,0.1373988,0.1683132,0.2493988,4.92651,5.21852,5.817388,7.928702,9.448332,12.893274000000002,14.248000000000001,0.6225,0.9891000000000001,0.37860000000000005,81.703,0.156746
0.9793000000000001,0.6623,0.8137000000000001,0.7715000000000001,0.43910000000000005,0.9909,0.9589000000000001,0.8407,0.1155,0.42690000000000006,0.0465,0.360626,0.369936,0.39386,0.374474,0.408243,0.46601200000000004,0.037046,0.040185,0.095348,0.129906,0.161534,0.24190599999999998,0.175182302,0.18095570190000002,0.22278277280000003,0.2343120792,0.2668540721,0.33757685140000004,0.037046,0.040185,0.095348,0.129906,0.161534,0.24190599999999998,6.04971,6.02492,6.773548,9.881342,11.602572,15.156954,45.128,2.9379,0.8137000000000001,1.5430000000000001,69.607,0.178726
0.8781000000000001,0.2857,0.31930000000000003,0.8925000000000001,0.8573000000000001,0.7111000000000001,0.9793000000000001,0.1805,0.9567000000000001,0.9613,0.3609,0.43801640000000003,0.46415039999999996,0.494804,0.4653236,0.4974102,0.5534968,0.050879600000000004,0.06848099999999999,0.1179848,0.1563156,0.1854284,0.2683156,0.42303420584000007,0.4488379942199999,0.48022109696000004,0.4533649904,0.48533650434000003,0.54246028756,0.050879600000000004,0.06848099999999999,0.1179848,0.1563156,0.1854284,0.2683156,6.12927,6.082039999999999,6.841276000000001,10.019654000000001,11.755164,15.317298000000001,78.584,2.6343000000000005,0.31930000000000003,1.7850000000000001,35.713,0.139554
0.3567,0.5163,0.6091,0.6907000000000001,0.6035,0.5047,0.45930000000000004,0.3659,0.36210000000000003,0.3005,0.7929,0.3833132,0.3975552,0.423452,0.4011068,0.4343826,0.49165840000000005,0.0698876,0.10736100000000001,0.14908880000000002,0.19260359999999999,0.21826040000000002,0.3046036,0.1640719928,0.1945643571,0.23153494160000002,0.25525881159999997,0.2832051211,0.3608135674,0.0698876,0.10736100000000001,0.14908880000000002,0.19260359999999999,0.21826040000000002,0.3046036,4.10127,4.62604,5.114876000000001,6.494054,7.865564000000001,11.230098000000002,58.28,1.0701,0.6091,1.3814000000000002,56.467,0.110658
0.2273,0.1125,0.5777,0.5157,0.3859,0.5411,0.2731,0.9949,0.7603,0.11910000000000001,0.6625000000000001,0.4199476,0.4421536,0.471236,0.44411239999999996,0.4765918,0.5330712000000001,0.06415000000000001,0.095625,0.13970000000000002,0.18165,0.20835,0.29365,0.10652549416000001,0.13689655626,0.1791859376,0.21290927184,0.24029759838,0.32216506492,0.06415000000000001,0.095625,0.13970000000000002,0.18165,0.20835,0.29365,3.37509,4.10468,4.4966919999999995,5.231618,6.4727879999999995,9.766566000000001,40.872,0.6819,0.5777,1.0314,20.125,0.115754
0.6895,0.43610000000000004,0.8269000000000001,0.5127,0.6671,0.7883,0.8487,0.8609,0.5383,0.3053,0.3169,0.3995236,0.4172896,0.444596,0.42013639999999997,0.4530598,0.5099832000000001,0.048943600000000004,0.064521,0.1148168,0.1526196,0.1820844,0.2646196,0.155975674,0.17222125358,0.21549838976000002,0.23429247904,0.26481318962,0.33952910708000006,0.048943600000000004,0.064521,0.1148168,0.1526196,0.1820844,0.2646196,5.61993,5.71636,6.407684,9.134186,10.778276,14.290782,63.368,2.0685000000000002,0.8269000000000001,1.0254,49.249,0.150362
0.006500000000000001,0.47550000000000003,0.2027,0.1287,0.24010000000000004,0.8665,0.5305,0.29490000000000005,0.9111,0.19990000000000002,0.1723,0.4338212,0.4590432,0.489332,0.4603988,0.49257660000000003,0.5487544000000001,0.0425812,0.051507,0.1044056,0.1404732,0.1710948,0.2524732,0.12079007600000001,0.13297348638,0.18135238736,0.20442632744,0.23535901182000002,0.31169981188,0.0425812,0.051507,0.1044056,0.1404732,0.1710948,0.2524732,4.37895,4.8254,5.35126,6.976789999999999,8.39814,11.78973,29.208000000000002,0.019500000000000003,0.2027,0.2574,52.795,0.16130999999999998
0.4137,0.45530000000000004,0.17570000000000002,0.19390000000000002,0.8131,0.2723,0.07970000000000001,0.2913,0.45890000000000003,0.1645,0.5209,0.3922188,0.4083968,0.435068,0.41156119999999996,0.4446434,0.5017256,0.0579196,0.082881,0.1295048,0.1697556,0.1975884,0.2817556,0.1129118184,0.1364283491,0.17976994640000002,0.2095326212,0.2382289475,0.317940665,0.0579196,0.082881,0.1295048,0.1697556,0.1975884,0.2817556,2.62083,3.56316,3.854604,3.920366,5.026156,8.246442,75.048,1.2411,0.17570000000000002,0.38780000000000003,50.977000000000004,0.078122
