Soil Parameters 
STAS 
19,1   'BB      DRYSMC      F11     MAXSMC   REFSMC   SATPSI  SATDK      SATDW     WLTSMC  QTZ    ' 
1,     2.79,    0.010,    -0.472,   0.339,   0.192,   0.069,  4.66E-5,  2.65E-5,   0.010,  0.92, 'SAND' 
2,     4.37,    0.058,    -1.044,   0.376,   0.337,   0.036,  1.41E-5,  5.14E-6,   0.058,  0.82, 'LOAMY SAND' 
3,     4.82,    0.082,    -0.569,   0.388,   0.351,   0.141,  5.23E-6,  8.05E-6,   0.082,  0.60, 'SANDY LOAM' 
4,     5.33,    0.084,     0.162,   0.476,   0.360,   0.759,  2.81E-6,  2.39E-5,   0.084,  0.25, 'SILT LOAM' 
5,     3.86,    0.061,     0.162,   0.484,   0.347,   0.955,  2.18E-6,  1.66E-5,   0.061,  0.10, 'SILT' 
6,     5.34,    0.129,    -0.327,   0.413,   0.379,   0.355,  3.38E-6,  1.43E-5,   0.129,  0.40, 'LOAM' 
7,     6.95,    0.169,    -1.491,   0.392,   0.365,   0.135,  4.45E-6,  1.01E-5,   0.169,  0.60, 'SANDY CLAY LOAM' 
8,     8.72,    0.120,    -1.118,   0.465,   0.387,   0.617,  2.03E-6,  2.35E-5,   0.120,  0.10, 'SILTY CLAY LOAM' 
9,     8.37,    0.197,    -1.297,   0.426,   0.398,   0.263,  2.45E-6,  1.13E-5,   0.197,  0.35, 'CLAY LOAM' 
10,   10.73,    0.070,    -3.209,   0.406,   0.237,   0.098,  7.22E-6,  1.87E-5,   0.100,  0.52, 'SANDY CLAY' 
11,   10.39,    0.126,    -1.916,   0.468,   0.404,   0.324,  1.34E-6,  9.64E-6,   0.126,  0.10, 'SILTY CLAY' 
12,   11.76,    0.281,    -2.138,   0.483,   0.458,   0.468,  9.74E-7,  1.12E-5,   0.281,  0.25, 'CLAY' 
13,    5.25,    0.066,    -0.327,   0.439,   0.329,   0.355,  3.38E-6,  1.43E-5,   0.066,  0.05, 'ORGANIC MATERIAL' 
14,     0.0,      0.0,       0.0,     1.0,     0.0,     0.0,      0.0,      0.0,     0.0,  0.60, 'WATER' 
15,    2.79,    0.006,    -1.111,    0.20,    0.17,   0.069,  1.41E-4,  1.36E-4,   0.006,  0.07, 'BEDROCK' 
16,    4.26,    0.028,    -1.044,   0.421,   0.283,   0.036,  1.41E-5,  5.14E-6,   0.028,  0.25, 'OTHER(land-ice)' 
17,   11.55,    0.030,   -10.472,   0.468,   0.454,   0.468,  9.74E-7,  1.12E-5,   0.030,  0.60, 'PLAYA' 
18,    2.79,    0.006,    -0.472,   0.200,    0.17,   0.069,  1.41E-4,  1.36E-4,   0.006,  0.52, 'LAVA' 
19,    2.79,     0.01,    -0.472,   0.339,   0.192,   0.069,  4.66E-5,  2.65E-5,    0.01,  0.92, 'WHITE SAND' 
